called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
245,621242,"Díaz, Edwin",SL,539,45.5,170,75
286,662253,"Muñoz, Andrés",SL,662,43.2,194,92
132,664854,"Helsley, Ryan",SL,307,43,91,41
140,666204,"Jiménez, Dany",SL,332,42.2,68,72
112,623352,"Hader, Josh",SL,267,41.9,63,49
57,543238,"Gose, Anthony",SL,136,41.9,30,27
75,656464,"Ginkel, Kevin",SL,180,41.7,39,36
128,472610,"García, Luis",SL,310,41.3,72,56
189,606149,"Gallegos, Giovanny",SL,466,40.6,125,64
67,669358,"Baz, Shane",SL,165,40.6,40,27
142,661403,"Clase, Emmanuel",SL,351,40.5,97,45
79,641755,"Kinley, Tyler",SL,196,40.3,54,25
153,663556,"McClanahan, Shane",SL,380,40.3,95,58
203,453286,"Scherzer, Max",SL,508,40,137,66
178,650556,"Abreu, Bryan",SL,450,39.6,121,57
57,664076,"Cleavinger, Garrett",SL,144,39.6,26,31
183,596112,"Stephenson, Robert",SL,462,39.6,103,80
43,607755,"Vasquez, Andrew",SL,109,39.4,14,29
81,669145,"Zimmermann, Bruce",SL,206,39.3,37,44
55,622786,"Tinoco, Jesus",SL,140,39.3,22,33
130,622663,"Severino, Luis",SL,331,39.3,60,70
157,642701,"Santana, Dennis",SL,401,39.2,77,80
103,571656,"Farmer, Buck",SL,263,39.2,43,60
100,628452,"Iglesias, Raisel",SL,255,39.2,51,49
144,594798,"deGrom, Jacob",SL,369,39,121,23
251,675911,"Strider, Spencer",SL,643,39,157,94
102,519151,"Pressly, Ryan",SL,262,38.9,75,27
139,669276,"Lee, Dylan",SL,360,38.6,102,37
41,663385,"Smith, Chad",SL,107,38.3,28,13
64,547973,"Chapman, Aroldis",SL,167,38.3,30,34
57,664776,"Cousins, Jake",SL,150,38,31,26
116,659275,"Lamet, Dinelson",SL,306,37.9,77,39
141,640462,"Puk, A.J.",SL,373,37.8,76,65
125,663855,"Hicks, Jordan",SL,332,37.7,64,61
76,676477,"Whitlock, Garrett",SL,202,37.6,46,30
86,612434,"Castro, Miguel",SL,229,37.6,42,44
206,542914,"Bass, Anthony",SL,550,37.5,121,85
108,608665,"Graveman, Kendall",SL,288,37.5,55,53
50,664126,"Fairbanks, Pete",SL,134,37.3,20,30
349,506433,"Darvish, Yu",SL,936,37.3,114,235
38,682847,"Ortiz, Luis L.",SL,102,37.3,26,12
162,676714,"Hughes, Brandon",SL,435,37.2,109,53
126,623474,"Herget, Jimmy",SL,339,37.2,45,81
196,622491,"Castillo, Luis",SL,528,37.1,92,104
72,657140,"Wright, Kyle",SL,195,36.9,22,50
41,523260,"Kelly, Joe",SL,111,36.9,27,14
88,660853,"De Los Santos, Enyel",SL,240,36.7,44,44
87,606625,"Moronta, Reyes",SL,237,36.7,40,47
174,519293,"Smith, Will",SL,475,36.6,123,51
136,664747,"Díaz, Alexis",SL,372,36.6,85,51
67,665795,"Cabrera, Edward",SL,183,36.6,36,31
74,622554,"Domínguez, Seranthony",SL,203,36.5,52,22
52,657240,"Merryweather, Julian",SL,143,36.4,25,27
186,605447,"Romano, Jordan",SL,512,36.3,90,96
73,657265,"Strzelecki, Peter",SL,201,36.3,26,47
85,502085,"Robertson, David",SL,235,36.2,47,38
104,605177,"Chafin, Andrew",SL,287,36.2,90,14
177,666808,"Doval, Camilo",SL,489,36.2,101,76
143,670912,"Oviedo, Johan",SL,395,36.2,75,68
46,592848,"Weiss, Zack",SL,127,36.2,28,18
44,642585,"Bautista, Félix",SL,122,36.1,17,27
104,641729,"Jiménez, Joe",SL,289,36,59,45
197,676879,"Ashby, Aaron",SL,549,35.9,102,95
165,666129,"Garrett, Braxton",SL,459,35.9,103,62
