called strikes + whiffs,player_id,player_name,pitch_type,total_pitches,csw_percent,whiffs,called strikes
83,596112,"Stephenson, Robert",SL,184,45.1,41,42
96,664854,"Helsley, Ryan",SL,223,43,60,36
71,594798,"deGrom, Jacob",SL,167,42.5,48,23
123,547973,"Chapman, Aroldis",SL,291,42.3,62,61
439,675911,"Strider, Spencer",SL,1042,42.1,305,134
52,668941,"Romero, JoJo",SL,125,41.6,33,19
73,686753,"Jameson, Drey",SL,176,41.5,42,31
156,642397,"Soto, Gregory",SL,377,41.4,97,59
165,662253,"Muñoz, Andrés",SL,406,40.6,102,63
167,571656,"Farmer, Buck",SL,414,40.3,86,81
165,606149,"Gallegos, Giovanny",SL,409,40.3,118,47
243,657240,"Merryweather, Julian",SL,605,40.2,130,113
264,666374,"Brash, Matt",SL,659,40.1,147,117
74,669276,"Lee, Dylan",SL,186,39.8,42,32
74,657024,"Swanson, Erik",SL,189,39.2,28,46
131,666277,"Soriano, George",SL,335,39.1,57,74
142,664126,"Fairbanks, Pete",SL,366,38.8,59,83
316,666200,"Luzardo, Jesús",SL,819,38.6,182,134
242,656945,"Scott, Tanner",SL,636,38.1,135,107
238,650556,"Abreu, Bryan",SL,626,38,132,106
54,694037,"Palencia, Daniel",SL,143,37.8,39,15
63,682842,"Uribe, Abner",SL,167,37.7,36,27
157,656546,"Hoffman, Jeff",SL,416,37.7,90,67
68,542914,"Bass, Anthony",SL,181,37.6,34,34
234,664294,"Moreta, Dauri",SL,623,37.6,119,115
155,666808,"Doval, Camilo",SL,412,37.6,104,51
57,682175,"Jacques, Joe",SL,152,37.5,16,41
162,640470,"Alzolay, Adbert",SL,433,37.4,95,67
80,605280,"Holmes, Clay",SL,214,37.4,47,33
107,641729,"Jiménez, Joe",SL,287,37.3,63,44
54,695243,"Miller, Mason",SL,145,37.2,24,30
320,596001,"Junis, Jakob",SL,868,36.9,137,183
117,622250,"Sborz, Josh",SL,317,36.9,64,53
203,666619,"Santos, Gregory",SL,551,36.8,109,94
106,621366,"Borucki, Ryan",SL,289,36.7,44,62
48,642216,"Winans, Allan",SL,131,36.6,24,24
260,622491,"Castillo, Luis",SL,710,36.6,122,138
195,608371,"Sims, Lucas",SL,534,36.5,107,88
229,519242,"Sale, Chris",SL,627,36.5,111,118
175,669796,"Hernandez, Jose",SL,481,36.4,88,87
194,681857,"Olson, Reese",SL,534,36.3,107,87
115,660853,"De Los Santos, Enyel",SL,319,36.1,68,47
151,612434,"Castro, Miguel",SL,420,36,66,85
178,605447,"Romano, Jordan",SL,495,36,102,76
142,656412,"Faedo, Alex",SL,394,36,74,68
73,686839,"White, Brendan",SL,203,36,34,39
111,628708,"Marte, Yunior",SL,309,35.9,55,56
170,691587,"Pérez, Eury",SL,473,35.9,112,58
38,607968,"Rucinski, Drew",SL,106,35.8,18,20
41,554340,"García, Yimi",SL,115,35.7,19,22
47,676714,"Hughes, Brandon",SL,132,35.6,35,12
154,675627,"Grove, Michael",SL,432,35.6,108,46
235,607192,"Glasnow, Tyler",SL,660,35.6,131,104
188,641656,"Hamilton, Ian",SL,531,35.4,125,63
88,642100,"Speier, Gabe",SL,249,35.3,53,35
45,502171,"Cobb, Alex",SL,128,35.2,19,26
193,645261,"Alcantara, Sandy",SL,548,35.2,96,97
93,543351,"Jackson, Jay",SL,265,35.1,51,42
162,665622,"Medina, Luis",SL,462,35.1,106,56
85,642546,"Hernández, Jonathan",SL,242,35.1,48,37
72,642048,"Saucedo, Tayler",SL,206,35,35,37
215,642547,"Peralta, Freddy",SL,617,34.8,131,84
84,623352,"Hader, Josh",SL,242,34.7,61,23
278,592351,"Gray, Jon",SL,802,34.7,163,115
217,595345,"Okert, Steven",SL,625,34.7,110,107
50,592848,"Weiss, Zack",SL,144,34.7,23,27
62,523260,"Kelly, Joe",SL,179,34.6,40,22
