"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Greinke, Zack","425844","R","CH","356","86.5","1759","14.4",0.7498583582755336,0.8606442598994791,231.91266883759528,258.8311964284575,"Changeup","86","615","555",-26.918527590862197,26.91852759086224,"60",10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Paxton, James","572020","L","CH","114","84.4","1924","16.4",0.7922376148033045,0.9178600251296358,114.58075749160889,106.69927080827424,"Changeup","92","135","150",7.881486683334657,7.8814866833346695,"-15",2,15,2,30,0,15,"2:15","2:30","-0H 15M"
,"Bumgarner, Madison","518516","L","CH","42","84.3","1515","14.8",0.8125929089661569,0.9183063434067582,122.9803628924061,99.32676001791312,"Changeup","92","120","165",23.65360287449299,23.653602874493,"-45",2,0,2,45,0,45,"2:00","2:45","-0H 45M"
,"De Los Santos, Enyel","660853","R","CH","93","87.8","1896","18.8",0.9264816015426894,0.9781050848174049,236.961461439195,251.49498481659901,"Changeup","98","600","570",-14.53352337740401,14.533523377404029,"30",10,0,9,30,0,30,"10:00","9:30","+0H 30M"
,"Suarez, Robert","663158","R","CH","149","89.7","1811","18.5",0.9480752916882427,0.9674870390054389,229.4524031031193,248.93062365144453,"Changeup","97","615","585",-19.478220548325226,19.478220548325233,"30",10,15,9,45,0,30,"10:15","9:45","+0H 30M"
,"Boyd, Matthew","571510","L","CH","218","80.2","1892","15.4",0.7367162754616778,0.8121987444419015,123.8650586817435,103.03511711250718,"Changeup","81","105","150",20.829941569236325,20.829941569236325,"-45",1,45,2,30,0,45,"1:45","2:30","-0H 45M"
,"Abbott, Andrew","671096","L","CH","301","86.6","2067","18",0.8715308385734271,0.9291851659934176,140.06102747028754,122.1022793792036,"Changeup","93","75","120",17.958748091083947,17.95874809108398,"-45",1,15,2,0,0,45,"1:15","2:00","-0H 45M"
,"Brito, Jhony","666745","R","CH","419","88.8","1673","18.1",0.9443674304751765,0.9853195440225451,237.09225749251004,250.11211004056628,"Changeup","99","600","585",-13.019852548056235,13.019852548056267,"15",10,0,9,45,0,15,"10:00","9:45","+0H 15M"
,"Garcia, Rico","670329","R","CH","64","85.8","2196","19.9",0.9253362790366605,0.9783775980855207,225.1583632398086,227.64776907558567,"Changeup","98","630","630",-2.489405835777063,2.4894058357770636,"0",10,30,10,30,0,0,"10:30","10:30"," 0H 00M"
,"Cisnero, José","542585","R","CH","74","88.8","1402","12.9",0.7650532115082276,0.7720277632297418,238.17247429698637,271.04075176186456,"Changeup","77","600","540",-32.86827746487819,32.86827746487819,"60",10,0,9,0,1,0,"10:00","9:00","+1H 00M"
